"SURVEY_YEAR","BIOMASS_MALE_LE112","CV_BIOMASS_MALE_LE112","CI_BIOMASS_MALE_LE112","BIOMASS_MALE_GE113","CV_BIOMASS_MALE_GE113","CI_BIOMASS_MALE_GE113","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE125","CV_BIOMASS_MALE_GE125","CI_BIOMASS_MALE_GE125","BIOMASS_MALE_113TO124","CV_BIOMASS_MALE_113TO124","CI_BIOMASS_MALE_113TO124","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_BARREN","CV_BIOMASS_FEMALE_BARREN","CI_BIOMASS_FEMALE_BARREN","BIOMASS_FEMALE_OLDNOEGG","CV_BIOMASS_FEMALE_OLDNOEGG","CI_BIOMASS_FEMALE_OLDNOEGG","BIOMASS_FEMALE_NOEGG","CV_BIOMASS_FEMALE_NOEGG","CI_BIOMASS_FEMALE_NOEGG","BIOMASS_FEMALE_HATCHED","CV_BIOMASS_FEMALE_HATCHED","CI_BIOMASS_FEMALE_HATCHED","BIOMASS_FEMALE_NE_TOT","CV_BIOMASS_FEMALE_NE_TOT","CI_BIOMASS_FEMALE_NE_TOT","BIOMASS_FEMALE_TRACE","CV_BIOMASS_FEMALE_TRACE","CI_BIOMASS_FEMALE_TRACE","BIOMASS_FEMALE_QUARTER","CV_BIOMASS_FEMALE_QUARTER","CI_BIOMASS_FEMALE_QUARTER","BIOMASS_FEMALE_HALF","CV_BIOMASS_FEMALE_HALF","CI_BIOMASS_FEMALE_HALF","BIOMASS_FEMALE_THREE_QRT","CV_BIOMASS_FEMALE_THREE_QRT","CI_BIOMASS_FEMALE_THREE_QRT","BIOMASS_FEMALE_FULL","CV_BIOMASS_FEMALE_FULL","CI_BIOMASS_FEMALE_FULL","BIOMASS_FEMALE_SC0","CV_BIOMASS_FEMALE_SC0","CI_BIOMASS_FEMALE_SC0","BIOMASS_FEMALE_SC1","CV_BIOMASS_FEMALE_SC1","CI_BIOMASS_FEMALE_SC1","BIOMASS_FEMALE_SC2","CV_BIOMASS_FEMALE_SC2","CI_BIOMASS_FEMALE_SC2","BIOMASS_FEMALE_SC3","CV_BIOMASS_FEMALE_SC3","CI_BIOMASS_FEMALE_SC3","BIOMASS_FEMALE_SC4","CV_BIOMASS_FEMALE_SC4","CI_BIOMASS_FEMALE_SC4","BIOMASS_FEMALE_SC5","CV_BIOMASS_FEMALE_SC5","CI_BIOMASS_FEMALE_SC5","BIOMASS_FEMALE_OVIGEROUS","CV_BIOMASS_FEMALE_OVIGEROUS","CI_BIOMASS_FEMALE_OVIGEROUS","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,46901.1549308966352920819042882885784233,0.1470965804658137176692331416381535708308,13522.0390400551761435758247279185634795,247989.3659187404248790264859527550490244,0.3734034518449072318184477108499959587518,181496.1670995794390476256464528453386265,234298.6590633780873874978282454211667759,0.389439691625263287453280688883039545874,178840.5871663551366972338133138021868949,217896.0703296971697307212747791008554254,0.4038278575035908760922825728241772934122,172465.3063497989943528117016738960122488,30093.2955890432551483052111736541935983,0.2030665352905565395445330277736607390485,11977.4448906535391711436197806863263515,294890.5208496370601711083902410436274472,0.3184102774347248604200128106626086149185,184036.4982109427663004196113956887110297,9550.160360118343078569304625525479127248,0.2405504830879430631104175664851346089413,4502.699548859831771149135600892549864843,715.881638150878159688909683829905562365,0.2424903508858158856657169594322417445109,340.245003670721485158297534796342596021,313.804270930809940399700719041872499914,0.3374029956786740610326120254113685670709,207.521862094882359953697835879355215857,644.233648582922574137419456556172789241,0.2604056283257170778182283588293336702133,328.813653373698122306783041830569815202,385.452260498765525951190946315605273038,0.3283515037763847985394873800160129948515,248.065105562801872780982942866241224873,1029.685909081688100088610402871778062278,0.2010033054626216728755073596051051882179,405.661731774859528149671633175080795173,158.213587371836110237956650238105916445,0.3994048957845861538304957427785226095727,123.854911496869286430523232448304414804,54.75862201152591346394323060202401729274,0.9393846018906480521415797399879376292903,100.821236423220385399898477716552876614,629.476864725854473994720779754243907284,0.3277731728247076623144687042142294430359,404.398233175047544883853593659207735643,586.669167411493535691654541516769094555,0.3915725588048766041315591685892889309404,450.258152228280297188751224560188579982,26610.7717104200388668731263618843186772,0.2076949489499021197506765574415900276635,10832.7688289498513936233484129335511382,0,0,0,645.652820909681764306837970728859383215,0.3104458098361808565521018040730737515652,392.862817206228768149591358433266154164,20290.1479681194764661107887898451959239,0.1541654949507105417842460921268597432508,6130.959780091454099822553718288190079358,9188.623952526047017345557109009531706016,0.5021243203031652841330806411957548456686,9043.109851099709847175220970320573265042,722.290224694946275691756461424366221544,0.4435177335471192318778711969609994741617,627.883105903086440892005871911692532389,571.331773309382002454554818737112980587,0.5892727649538185709004287849421238685226,659.873697377416117882577060621687698159,30388.360830477845425820884746873288153,0.1985258782123982603755201803566546468223,11824.437001759482461582275500138273459,40968.2070996778766044787997752705453426,0.1669129635225005413156007968570013706175,13402.7247201331309871900009664448489593
1976,32579.2278033674748961623682876428508558,0.1428239412868610347486416894113638718982,9120.063689160476596353404340181015220512,124470.5184247334294119633178315731047321,0.16138980506704985402274312845738477953,39373.0145021182362629714575072391660609,115106.7811069123186075011633263258659116,0.1679956636213329797008704342347267953131,37901.3825555676463470854422414235630178,106348.9981486806282590807084152483025026,0.174957721285119816901149224717057521203,36468.8936190152339633856963289199730701,18121.5202760528011528826094163248022288,0.1422936263951422068645794635596073286207,5054.010598310397051957892932933540543436,157049.7462281009043081256861192159555876,0.1380412882719619208946012273742308300602,42491.5246125390129183302926351849471257,6403.176171708571371872459902268063750879,0.2528969262604152537431794271993574448747,3173.913401372900006019195024768514886982,1229.149214855717945405627172792813038104,0.2310570269258601379831406004615943443356,556.646983936322239687739513953029308671,489.22156989127508612191870608202670989,0.4568909103849368925966773185796944527645,438.10094135724250388502336799540735477,1718.370784746993031527545878874839747989,0.2175698314353383596592464618514111076374,732.776658282394205877677575859561885859,0,0,0,1718.370784746993031527545878874839747989,0.2175698314353383596592464618514111076374,732.776658282394205877677575859561885859,726.61370467792249550354117645673739943,0.3882668440106377766548178274212409570712,552.955219463142133896496940161012068965,615.978367097858471419668334965271224597,0.2695472653289601398509792949644152260182,325.429157331931093503325639495451328913,1415.424081811614517104783914028294328243,0.2152285156094801692954647474329720803165,597.093663209001414101597592122055696499,4999.109764145752722329728522105002896973,0.2681516436768329076968848911387564101535,2627.418220346112639793111573303582087367,20789.0391450261938974944319454624697063,0.2120087207141042127764859963517883219333,8638.616884264378808727451323866700961816,0,0,0,369.507209686846708088826258912474241455,0.4428612547788052871767024241533801108573,320.735236002194816047871733815213542762,25640.5423558675468793092826732028415312,0.2158075247131896092951113486661044831309,10845.5070771220022757922418365190546626,5131.146290353234037132684507682815299885,0.2883184268797606675331384475057660276138,2899.631891988145650125855944989540863432,15.37600652343580965691992867370933662917,0.7167331951642021492059083247268664463208,21.60016879743921655832986974622485380764,0,0,0,29438.2010776840704026601674895970006612,0.1980889749372298047930799967345385648439,11429.5108279300028533398359636743677053,37559.74803413963480606017327073990416,0.1694163315328533272293173273296627507225,12471.9400614747833056011032424196202005
1977,30200.8548117145286529579523052659141245,0.1900747829635498070636306365571806464413,11251.2250103546230975788632978282646949,108300.0422014968659033842537485932327645,0.1373374956773288946687720982602224921017,29152.3668922971208732681804787409558173,100046.132963827087129329999906241671087,0.1442415909659123208138796361568050094123,28284.3942418316630638087137322245367363,91717.0566144107845879542226538105528336,0.1486157222769799002865663881599111567484,26715.969363183858481453819141839894078,16582.9855870860813154300310947826799308,0.13126141907056100630102730212731317576,4266.344192351655347861398455035912638026,138500.89701321139455634220605385914689,0.1213497175035427692386863294576707807837,32941.8076640193275007375850557748870026,14474.4401099599928644254039488317645724,0.59603951650487878505208185192204763727,16909.5830382459821800705374752457523307,565.25186415759111445591410470159161857,0.3809041269060594313283160925585077795688,422.001264885980714533663280440146953704,863.461031495122810479625935398046441148,0.3101646189103043974793140168219888929125,524.917521084062894419167284537011628805,1428.712895652713924935540040099638059717,0.2926997416351800339782193446677442283866,819.640435039662622867812502979678651665,0,0,0,1428.712895652713924935540040099638059717,0.2926997416351800339782193446677442283866,819.640435039662622867812502979678651665,155.606232590066808143757389709170759777,0.4285218592363317709564441999563709508486,130.694117312582759756467011107400398121,125.353279431602207639308992151720852547,0.3649789655539998768733292626280307995109,89.67256810126542027710406976134704817893,414.535478460490154448451229579688578354,0.2678887309007623963925608346119533481982,217.656791146717225896194399365701095525,403.125434569502153785375032898529756079,0.2925569356410219312953496181430035173427,231.156797960553324850359976486933294265,36027.7803205947335008503738241215097573,0.325969346763877877904701845391059064191,23018.1459522552495749691742676129912976,0,0,0,1087.089515701872930684267084821769287342,0.3650031796367377477986703822885859055409,777.710614370652133041229566837579812589,23447.1830765542842244558282212955830106,0.4236408195423708261419421731896281806776,19469.0403548424708565691443979536346852,13695.4648701220511066254456160008727512,0.2431388536656595426845788744700110293888,6526.603272721981262406084935211617046545,343.671879296343164049735496469579888021,0.4576474130327735247893161186853731621332,308.269871124482774556487001402171247743,0,0,0,37144.6964460218375008797363784881668775,0.3174678373613101596917894583573101128099,23112.8030423153565731385411321134806853,53047.8494516345442902406803674195695096,0.2783116570422675485558540416660919991255,28937.1163714897817073812471217706442985
1978,24736.5632535598435898099326362979838067,0.148642837966893643062602260891097713434,7206.749408571154072635231208446548718583,73571.2570861216596308179295681417576547,0.1328918731040729081936655855459494972427,19162.9634351601685037038069965946819258,67100.6416633582324286141832190226184512,0.1365524605127832286997480447286575072545,17959.0051333915586715077870107394460238,60259.2937341538203843830260873484896233,0.1425771005980768646850967613573290662625,16839.5269540188837728149722049639537339,13311.9633519678392464349034807932680308,0.171571011612626304081273563558793062049,4476.536156940766657660358090955318096971,98307.8203396815032206278622044397414601,0.1179996005889377476407006643691222950355,22736.555728308876875752909615341232359,6816.96940791000885981760780190515295947,0.2423979404583494297675289653313888599776,3238.741915504121391965166893980317598959,312.781632890644503316159376828750067811,0.2043942531925604629743010376044460236376,125.304305803384464366959866755846007411,1179.408021905146499770058270393849914201,0.3680582129201784055284408468649199431114,850.817985338416460840410150983845229517,1319.884043647925965230314363733785214229,0.3213786029716024912459487972330246425409,831.397680462876901663868231079373029708,0,0,0,1492.189654795791003086217647222599982008,0.300710397038935173725388719751277020609,879.485209360026502619261892055470962809,368.572865448095627443126188778472841704,0.4021250812305809617674277257638594931704,290.496291177098744904314663206775425971,575.284432058761799114764424358750678018,0.4348271019039394683286225159411234977642,490.292554230627710486634244281874666523,1385.238157733270601795801871476394509071,0.4880204156673485422211164628383398301151,1325.008023009115173432578190516423188158,4876.143777369508271138736109840978964323,0.4560364773894519558948300046486462617566,4358.450885693129756606321832385711497692,16928.9715304564226860632928255395522938,0.2025572521634277829052549034012932942871,6721.008472117817075491100279572493749301,2.81432908353595840817528098519375055565,1,5.51608500373047848002355073097975108907,792.707480624831017021734869448192802243,0.3947875271638887612673841974265185096429,613.384011038778866137800332985137689942,6124.972417418690839804050024794900495693,0.1671226380221580345015398195192498021921,2006.298234495453583049237441852854111897,11527.0439903052393197102809275312338294,0.2688121739686770891109981677069559565982,6073.275118754390437463346446304091718842,5700.393249599359782178604476587578356131,0.3906394562796361604981478976457948160068,4364.525098423060321615865778382302653907,1605.027001459024745903326163062539776593,0.9784057525017208218198372557319397200133,3077.920596250271433037719407816556082099,24264.4541176022058572393551099311718306,0.2296724795343016292080134454807839550462,10922.8395898025473030777260373092029059,32573.613180308005720143180559058924772,0.1994994375554531891473750653941573989391,12736.8983168958741436001366166354131913
1979,22941.2711175829278563496554068836302893,0.2282296772748808478015788561640752303142,10262.3226507453335316394656750654144744,27095.0975860396439749478658144957729085,0.1401119826562694686242153420932420443941,7440.841772368426072310969593493722704812,24212.0520367072447856025028911172185623,0.1456385748958986355995071818242864399349,6911.369157705511014756972711963961023428,21052.4975669167886805839781403084612531,0.1496410427847463135636559887757021064825,6174.622670708055171108270221792356956543,6042.600019122855294363887674187311655354,0.172912924125098393932997217076910978004,2047.893531704820428228251692540598880978,50036.3687036225718312975212213794031977,0.1383376589774997376027441597621955275273,13566.9516559805927636688404578427599526,3826.855468656852365474958082874319374003,0.2229528601562934296931125234929264895351,1672.288409397924000848594985077401638223,774.692943630335606394312429862228977348,0.3591977711763032678111070725920192607519,545.405238248131146809568438316549307863,360.931286447649545997229646544475759769,0.3925875962081850239385097323071925286149,277.726406439908783100697493556886020608,1043.293135362358441363630508101986807987,0.3297681353958630376653596565086422188101,674.327870562707417013905449108453475489,75.91665425571987599798123745569675006755,0.4467407033786943385069739642180758975627,66.47351665990059482530916771234328414913,1135.624230077985152391542076406704737116,0.3080253205839860669499350853555452099491,685.60999436411890918681070189584020815,276.89049382003716336688215921504427807,0.406467739661587367529913214203684162361,220.592224187350013916725965742395739716,323.922350321682745095944179798084132226,0.457719197098963089438169595507825462856,290.600337098833361627956980514861876561,797.707306039085845748938784831089623211,0.4596190962783713332732341759505990643834,718.617361748824093929508810777007497317,2645.277389558564172200309301520035247072,0.4672836171522020813368498046680211180796,2422.745782449166823268327630987800870567,14058.8094397759878193970980488488709318,0.3106880048437343722445954196679843721093,8561.090772431630815028661062259194776705,48.37065934530105012737319964959995916159,0.8002020655225741027546527289275282562317,75.86435097684545644060383523437530853414,2634.234279959250740503695385659480679113,0.5676730901376196309252703203033059351835,2930.952471147793970997408099348366215075,11314.7714220717499246222975625287615684,0.38785445307569152771986180684885669812,8601.429583904841935869440355776040759063,4513.062091419513901260012743419632835677,0.3632346388690886794857124656503746660481,3213.028938782260774596764657710204572112,677.86486727772307957931787034486675985,0.3750209702136365303657336102975323281408,498.258538792450147314637929805263696256,134.087445893230157616955409917456099847,0.416176525622451382945389579919190435554,109.375932828408609742002667804070859986,18186.7665358887837013181100951130931648,0.300795877121577495064362474766678085029,10722.1886086493195658438356823856235875,23149.2462346236212191846102543941172759,0.2725595587976181492141079100052942388782,12366.7147468046173691161542711382913525
1980,87614.7453683317670076839732280226115079,0.1675560333933886710584146157709134636697,28773.5432333513081883841670143729712977,64869.1629720283222166232157969992780683,0.2201560478715545472383566886250416405654,27991.4235553687802719398691257758582615,53803.5610325454716943962648507545335644,0.2417435852961156749387112388713099853926,25493.0648615836067126683374614431673466,46927.4500637168374106082783196688845796,0.2531744943918921987617884976055430669026,23286.4335482452681305914867079367555877,17941.7129083114848060149374773303934885,0.1925179405257956192434127914001125858791,6770.039172481891564932591776836839825981,152483.9083403600892243071890250218895749,0.155179919107440708598019827734885732123,46378.3835004292251875473297272044318866,13519.6477974359119776911089334775776472,0.2284011292515353909175504618476919997951,6052.289535074095169504032015334327016002,382.228442794363509621974238479695672778,0.2851091232161300197527060249890347643343,213.594559739000673306921374328972297211,985.783356753491403397420276425720217025,0.436863335281681883349930207060316848931,844.079105989144586179239225595861854521,908.707773611323544146560160111361297727,0.392212704133710789853480835339029511806,698.557196984625329391341551525092966919,459.304025936531368872834354794054592071,0.4203979446364188861025939168164552721912,378.457318195222428327834345052154370599,1368.011799547854913019394514905415889792,0.3232736313260541396279689778467669346293,866.794598587981247539090296015165364643,620.886872576905690067808454516413898617,0.3951389039083821042882209702349751409795,480.859654231037969834620117902552773245,1084.516711965719196643187319758846456113,0.3140845300179601446163698249460396316611,667.634646677777679271837474227353267183,2433.141296125988317609539868153101005728,0.3164876458729060337585744143411504296747,1509.315955338648153254045982638531878384,3240.155957862033446825769518462343314691,0.234968707733188473128366031764951379927,1492.217106214753626354731979265211221378,53817.5444458686456326684551428860038099,0.3060391878394589389482300915082839267127,32281.744083706144168060480534963121713,17.03555477251989195536610959365699623086,0.7068690556839704705917844330214601137493,23.6021367696032371230988157986421924076,2409.001198712373794040189474176852898398,0.3742452878667183767768119535206075519943,1767.052400283428660422335567461686129451,46977.26284090745438634671231261006307,0.3449752181493006439882833842595511915169,31763.7433333342046198303284512997787473,6929.973101621322927671757838486183076627,0.3092784389178594920452606731590251478808,4200.850874719911242470535641538054332384,5223.968681978486671856646430746771312173,0.4257444024005962849631365645817987404996,4359.187832349988406208308568116703151205,2225.993447324767878642570464595231512456,0.5834471615027142958091897889959979154182,2545.549134395944080566453848440046771497,62415.223025769070637493848115303342976,0.2794695890200094914390035340419425812773,34188.5871861036742835091925444347879442,77302.8826227528375282043515636863365135,0.2442662696578195709557904922696878277034,37009.6740732299936569366159915130740512
1981,46075.1323597442417756968190611722876688,0.1671886569195988152355898939484165553872,15098.3494133720354154807333120722070766,33854.7737763264258401221712469895502076,0.1453517101833335879371400972265619280506,9644.864561867484492157576259497244748052,27067.2176896136972978731950204078885521,0.155959110815662472250410952168292058554,8273.90323812719945719070348275024909211,22780.9842246274772408976216680668882055,0.1681775299657556523031552636844287793976,7509.249327889920921768161596291958769056,11073.7895516989485992245495789226620022,0.1317897266958656684976207804819735978501,2860.446929071636989566695029853037837004,79929.9061360706676158189903081618378767,0.1282710986975952745560905075688871327562,20095.2858825841156435414533845593726502,1524.77593702147173819506237731769517395,0.2099880613239725610566007829276175837704,627.562096218421760807442213998601132803,1603.747498647054018223557659392480036381,0.5303948139141762372332426716636625939518,1667.21393797605045265266363377490145766,1067.750333653745182629717667060797210957,0.3414500524975246319235862962737959850038,714.583478661428639308423942890017273715,2415.837950616705890519695103179807673746,0.4729575800755450354772456988078306575479,2239.4741871175489269075688336458585019,255.659881684093310333580223273469573599,0.3159376621059000329573036369707723595213,158.314267214545167787561707464961035268,2671.497832300799200853275326453277247345,0.4299824190614448902037926348348142090078,2251.446316882203579323039616901974028138,1314.297562170670166269392628454536817451,0.5047434643413968936820768324984910245164,1300.230885222733987085593992595653176929,732.298034882155226046576513254974027305,0.4945073353245058994124151491175536177983,709.768429790175438578546439511694177188,2345.378492294067435458599550845708364832,0.4408032048422485499482890095107934402991,2026.346697703759505115321174445755541065,1015.536410040597283565079711505071835526,0.4265515732368452112678104103901054504465,849.030160628944813470844375338121398959,34498.1478511635506844016123099029779256,0.2510084931089832651320182107055107182013,16972.2830900560850173894701797567648159,0,0,0,219.862759301752834661401143372701472453,0.300568067911411677125882221160503451782,129.524100547239226620618001339721511473,31419.8412402751103950072842861448129666,0.315820905271064361348280389901698678027,19449.1636997945417462358599391209711213,6690.91181651154222210502881069917721261,0.2840551685975826411424690340462630554151,3725.152644857058347410861254890360607252,3878.281318083602768744074434558676577521,0.2629390223855959131884924044169125380691,1998.712936693916791288816745795582195447,368.259048679831776076747365641177988788,0.4177823879594421005820333916109195073334,301.550203700459804647363715203986332562,39905.6583505510407957412607139632689707,0.2559362216975703761084632307799980742927,20018.0747082844982365240111690918258686,44101.932119873311734789598417734241392,0.2450383053119316260723202897275405132535,21181.0589069657770217727475084151413217
1982,32636.996663176731727727723441493225825,0.1627558293202670131175449075574831568958,10411.2484585387077212276464792524250189,33219.3835413326857929402482852148499245,0.146224460212783379184453814100064073644,9520.673396788272995752251053972978529041,24698.9083835691213855417653606233912607,0.1457411198523840847193442669735695828044,7055.307271227490706115535602676068125073,19481.3307819658890860591117596866289829,0.1572120494671870295394785880485928795761,6002.891879618867272424333574969425503319,13738.0527593667967068811365255282209417,0.1454425378373451940423377248120679213109,3916.270626200673765129086854892640720583,65856.3802045094175206679717267080757496,0.1427323003799636139738988014927158654051,18423.671976922770409854337570118244958,1720.26552211080914126444533877736700864,0.2691907060057351884859488501366621043123,907.635801212093405167492367277276223826,172.842196506130871894345116981216108789,0.3319803184259771345471766966593294624574,112.465206569759253219342292658297468828,2075.81093444419489904831950031652799033,0.3894090624783793183870421941904715191183,1584.34559613399359593061279098638261056,1947.039534507174311231405039658870450639,0.4002128302474306431353095952354798613825,1527.291197309162016043042495919266644348,301.613596443151459711259577638873648474,0.3479692444924524907667902360879939518994,205.70642035463074369233447248440351161,2248.653130950325770942664617297744099118,0.3597877461137805366673905948751848148729,1585.714169881574473938559216265050187611,1442.345109882825521778327268099627582484,0.4646044279700421229880600292536287024194,1313.435052436495494271597964625116616326,1061.928372564012697480668236674832658618,0.4219860065892575074246020663435068084781,878.313069915349248310427995367962220322,1213.011511480561832037996463614590285543,0.3220696269947799054305183860962775115146,765.72136348412071509458697914431590148,3345.174913530657263656126081298812778599,0.3585672778288905864189731710249270963123,2350.96171470811716452782862295482691426,54656.828609533862216535295959027270295,0.2613347599165183784851326180541095570908,27996.1091976428168334925874151128618712,0,0,0,146.276360419067591224850091745924698155,0.3314800380396893767108197989031789495177,95.03587929139888372722992653225504117133,5825.504657473817256991718682375919193816,0.4377669734650056440150025603695088513914,4998.418543904870410526496648739872010691,54130.9265362637357617891509836375139116,0.2869215071759654759153599514570789816188,30441.4009721678607092741281236038244304,3277.852800967555073478915475552208121946,0.3193150640925603800526560047023864529599,2051.468843364789486002302411180310260593,762.920765230310450501506775609055254933,0.3447173817819059819226866003459419702124,515.464415446591949145628890231468148411,61894.8279894041603630434773916228770807,0.259007723376546934364932459171195376659,31421.2274331843529722348466862556885872,65863.7466424652952752505873476979881881,0.2515427002445800168929746484520493441358,32472.3875701943981407137786345759284807
1983,16281.9152987034785940360758063728590033,0.175137821778691329730317212981389390694,5589.095192408152175543520131225063460872,21762.9767383910724213661647550976958844,0.1535229714777850668079459277402051082185,6548.589039876236486076648420277586043708,16386.0796064935637609660269394887102015,0.1635648164409087998080008761627345018897,5253.164761923588155024060806945963357743,12888.8421170884183856417580552357583357,0.166879990794489988432375335123747422489,4215.744113548646223095044460412841780821,8874.1346213026540357244066998619375487,0.1593814537568162327500224526771788406316,2772.170054482745336522547575906293023417,38044.8920370945510154022405614705548877,0.147589849018481366640116204931834832313,11005.4781484912492119501026713344920059,2338.432888865767778039348110241554563581,0.2361146216251363604519097944311242642851,1082.19086563061799602103368618357747301,26.70005648404977717872188580588967250502,0.4928044370072942641158071434811903022323,25.78949635522281008541674628246405347027,736.852660952457856307486093038857855483,0.2344994465983025609094865773840270521074,338.671420786962546058425414760836561376,258.88347095774823447387966193523257357,0.3739470007531217656738422361371693786407,189.745047118047397345021127939498357384,504.669246478759399012328316909514954417,0.2610460926633280917551082763554599150388,258.214192366027333095174438527672136849,763.552717436507633486207978844747527988,0.2287253379951856437475217230168682621177,342.301952610703066930474584995324845294,153.58810860685732910427204151469849664,0.2825792704567161970950241284032908807203,85.06559873466717035137768715253305623038,447.802236341253284586138322031134183777,0.5501231615662090426821425762744964895709,482.838908744439254049010635246228283974,403.771006760546234454736565015358643419,0.2477219522094991478522574516160739461247,196.044966399022087593152651677340801547,552.089008798830488789033047653588671089,0.2966276357241517733410349299839146016197,320.979120483003526301538355327679991546,18109.3969255880362333883134734160445862,0.1943837546629587821380223435568690961188,6899.538235392183948288824861570325993763,0,0,0,25.09252063582659648212234211194433117106,0.4367355452011220228647678089884602246945,21.47923953350194195236959096779934368977,1465.168177140160883383597536546783449693,0.2125898473848071403080545160186374059048,610.500563175753637096365441748245713902,14918.6344348525881952598351433314696367,0.2281131509130802020016598153675717602237,6670.147948179022707585804410098730139644,3202.745669182374911444014772923247032036,0.3244572490520921032789487380242369049548,2036.741936503373794408835517559590763141,818.559201721080617239131633562127659541,0.4085325799659083059993478575707366293057,655.439880966536972839515434469185593867,19666.6472860955235703224934496308245812,0.1868193557275051259052318524791073170227,7201.256335604567667927324897727648509004,22768.6328923977989818480495387171266727,0.1671519007527022614747592582803527533588,7459.407720389386683883543351175130360771
1984,12237.8061336489688683685935650567988009,0.1444337554293753265163235938030553740156,3464.402504275146282830517814029419316684,18271.971512643619713916854569548848359,0.148989335642344032928985086567220029019,5335.764637227433373762210497849775029696,14371.2946760640115652527540261245265834,0.1566018444698123296033837182722205192355,4411.119657234003876495123436260129081322,11154.2873536353725147877672844492995653,0.1721254116496773030094050492079126625686,3763.075152710425199769473779557706006853,7117.684159008247199129087285099548793583,0.156254466632454381273446470769545745656,2179.853086171242441699315401973639791002,30509.7776462925885822854481346056471598,0.1276815607465647920307281376181663631121,7635.250614702211790863854831015328593783,2244.218046916758862458867921390214622357,0.2114478855853810887381769134594234023664,930.088915193680382936184408797537428315,67.74454496932398067067450444212387735253,0.3263095818352998614785649510479143339288,43.32716051550303902882107812627864939338,693.831012275395375027814785249485011772,0.3079273376299920871850751958954821447212,418.753091295166317821820691887291951351,244.933900763596246609034202452763551896,0.2621866569034680909580794300538537017595,125.868065182924895926096943203199125009,516.641656481123109089455087238845337228,0.3928629304466263007350639810141020252806,397.819936105707601688089622427668659248,761.575557244719355698489289691608889126,0.2853826787998334846573826656360563933515,425.987326364548928022458600570856870882,159.999910151790682974259654350073923142,0.3340622839808569915318925842405230764547,104.761873427196641114363119694869309228,154.358233918199340077377965510622151793,0.3217866040374575851426003557540487031603,97.35400731960345761086613622280136916015,430.712355467326856323648103251995963373,0.2689637414447513720765136284015473528591,227.058172961428933397518029059374071249,947.148390937977324422593067850279117388,0.2442493116776760222485345257738107452242,453.427071384709944176628846440786233732,12447.8683237816199022020647598709282115,0.2389427035466637333506036898518111240292,5829.681528927424918120439623732120623871,5.98202022935874317911300560065391794776,1,11.72475964954313663106149097728167917763,111.245378226325168388011301259305636724,0.3414306069500531185525695202270335486309,74.44585093607675477233212249715912623168,1254.928382500865341784033127810110252401,0.2528866110302295916816546130205735129191,622.014988043131366349928887189033702636,5642.241369903609313805933846430240141975,0.2273504848523865035055621738712893637005,2514.221969759486847971825179428067247211,7716.405960790246732013661678843799314662,0.3437105292091936856119464555934059439832,5198.331553697337035236617133057314859516,182.751370828269636559775415769740391622,0.2740504123918352546655212875764063714242,98.16285353969458994751913806763694316403,14151.9789252339555800320390860222407662,0.2263014912786369310592486412615640091133,6277.123313235599869553492325050728297116,17157.7725293954337981893962971040642777,0.1984652046330081727340644192036702194346,6674.232838742419164793147673915678980044
