"SURVEY_YEAR","NUM_MALE_LE112","CV_NUM_MALE_LE112","CI_NUM_MALE_LE112","NUM_MALE_GE113","CV_NUM_MALE_GE113","CI_NUM_MALE_GE113","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE125","CV_NUM_MALE_GE125","CI_NUM_MALE_GE125","NUM_MALE_113TO124","CV_NUM_MALE_113TO124","CI_NUM_MALE_113TO124","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_BARREN","CV_NUM_FEMALE_BARREN","CI_NUM_FEMALE_BARREN","NUM_FEMALE_OLDNOEGG","CV_NUM_FEMALE_OLDNOEGG","CI_NUM_FEMALE_OLDNOEGG","NUM_FEMALE_NOEGG","CV_NUM_FEMALE_NOEGG","CI_NUM_FEMALE_NOEGG","NUM_FEMALE_HATCHED","CV_NUM_FEMALE_HATCHED","CI_NUM_FEMALE_HATCHED","NUM_FEMALE_NE_TOT","CV_NUM_FEMALE_NE_TOT","CI_NUM_FEMALE_NE_TOT","NUM_FEMALE_TRACE","CV_NUM_FEMALE_TRACE","CI_NUM_FEMALE_TRACE","NUM_FEMALE_QUARTER","CV_NUM_FEMALE_QUARTER","CI_NUM_FEMALE_QUARTER","NUM_FEMALE_HALF","CV_NUM_FEMALE_HALF","CI_NUM_FEMALE_HALF","NUM_FEMALE_THREE_QRT","CV_NUM_FEMALE_THREE_QRT","CI_NUM_FEMALE_THREE_QRT","NUM_FEMALE_FULL","CV_NUM_FEMALE_FULL","CI_NUM_FEMALE_FULL","NUM_FEMALE_SC0","CV_NUM_FEMALE_SC0","CI_NUM_FEMALE_SC0","NUM_FEMALE_SC1","CV_NUM_FEMALE_SC1","CI_NUM_FEMALE_SC1","NUM_FEMALE_SC2","CV_NUM_FEMALE_SC2","CI_NUM_FEMALE_SC2","NUM_FEMALE_SC3","CV_NUM_FEMALE_SC3","CI_NUM_FEMALE_SC3","NUM_FEMALE_SC4","CV_NUM_FEMALE_SC4","CI_NUM_FEMALE_SC4","NUM_FEMALE_SC5","CV_NUM_FEMALE_SC5","CI_NUM_FEMALE_SC5","NUM_FEMALE_OVIGEROUS","CV_NUM_FEMALE_OVIGEROUS","CI_NUM_FEMALE_OVIGEROUS","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1975,45792932.94343562054441847457928560033456,0.1748632712679639550975412182955417684556,15694704.02866958538616857523489504825844,93021428.63434495076271180275497056663258,0.3650055498830787994998142436921123896377,66548541.9107937550480052861466989972555,82607736.7147629874755785031493741780648,0.3823573021375149677888552726554999004631,61907915.83804812263956319905065394550984,69835131.6239126805535827251294759105094,0.4027322590801027898335433677220983577793,55124726.23122717501393339979583265180939,23186297.01043227020912907762549465612323,0.3260928749419368255322736388016279841155,14819337.05272340819432122219181678604082,138814361.577780571307130277334256166967,0.2667994720840856729174613875516166573971,72589772.83781683502653332107147335352872,4711275.97985085926416225355101120361381,0.4282451690352594766914376343642206157742,3954459.10959145833411072812746469445354,1702681.07744528395109726366339831483738,0.4185645872647109222862804168232845216879,1396856.72475166439809903853463406115819,813754.0737634461381142494828398100993815,0.6249057574108688632217029025893024894874,996698.4273901996638286078824162025992521,676659.1981438270250609540249530516414145,0.7486414516078914473845476956344562943329,992887.2437107639597575143111087093213051,1839775.95306490306415055912128507329534,0.3995402793850886788156185977475241510504,1440726.61265529756622470954934888286209,2516435.15120873008921151314623812493675,0.3452331131365989730535091604668636098417,1702763.21286598979541680102129248714155,632111.1439466730718278967383266385149333,0.4820146085151366530898341594111241974823,597186.1389515211928817198779423361987266,247753.7431641019281447785497705312037915,0.9999999999999999999999999999999999999996,485597.3366016397791637659575502411594311,514076.0406876258497280500493451113366,0.4878493180063887554068448749651608277546,491551.6258716503427104054681442166070865,123876.8715820509640723892748852656018956,0.9999999999999999999999999999999999999992,242798.6683008198895818829787751205797152,64116873.13460891244245518453865217127573,0.3554062530346802901629105418612003621982,44663573.76865976751420067840751167481873,0,0,0,167710.2195531875120342454415398037369809,0.516957353700075997636142580621736665867,169930.1013258021340746527084709492148676,42368811.78214468767766931318276162584428,0.3000009995707032585040383301349572366942,24912944.33512213539336177520109098840875,25257065.24187205340092424324563118225522,0.761895253950343811764094529011549964994,37716746.74753315955190512038558773455928,189828.6220749782427777649857454272962844,0.6471014502841608788879472949177713706493,240763.2182343181035054408191742074414728,167710.2195531875120342454415398037369809,0.8519817413118668756963315206704315735018,280056.6479858115935617148303385681205108,65634690.933989364256228299150979717933,0.3561553196719685587030984307978214609833,45817242.88908504372875587053388892776087,72862402.06504895360960206584822904648365,0.3334811328442463553202113094941947554415,47624543.30951474093414044029050815271609
1976,96211680.05252183068266912388362380917472,0.426439809587080058254752910094881811195,80415841.42243493722235305433490714096939,56197201.16626635194418615431926580657573,0.2124741165443540177240079730400409596928,23403283.31333285740359097032585836830381,48893474.64839854931506198028720456194386,0.2218053298974790468581316456487655646718,21255873.21747525441479492102229121062815,43862096.73838938546880120820907615872446,0.2274715782429330862028314209492979398952,19555665.52544625678928421777339655013283,12335104.42787696647538494611018964785115,0.2494091430058523443833560748736486042385,6029916.13551919804247688938038050210275,152408881.218788182626855278202889615751,0.2841547909361545783469029805618842900347,84883119.00789442516412662047590967353525,76215587.95802344672995814730385049349024,0.5241304038849430537049748861241241201018,78295937.52158377347641013726553126207921,4668909.58945902622418680132190558348043,0.4083054868833958392302263598835588403836,3736429.15015170202986214811252754393574,531896.6428519647764627203612362186505816,0.5891777168019069235730405452885083341343,614228.033235835069928526864379561228029,5200806.23231099100064952168314180213103,0.3815636237727740974693575334335764393189,3889499.40617959507318211094178823996741,0,0,0,5200806.23231099100064952168314180213103,0.3815636237727740974693575334335764393189,3889499.40617959507318211094178823996741,4454288.1644147202363942031342236236108,0.6577496320399868406287415502319582655567,5742420.54624194725795971530072532374046,1288979.05339496898214468785955636153084,0.5652964721226387538829579820333334401415,1428164.41058734257116901692184796103709,2850977.01687614046710488102354086244103,0.4410290656996485698082198356232205555588,2464432.91096474866912167425194334595053,7886367.86615180244012407256972019181507,0.6003472194987444275287147750629889120405,9279735.67996142247276324185133327375479,36318147.52611753523019959910871046942359,0.4730796171065646469694677210798824311675,33675495.63832380680144948775249478457743,0,0,0,2506874.96566109229355177383800845976789,0.6325134369257137294466806343792671606498,3107838.91692772302077935653038636301693,50562083.43407504254918786475824836840883,0.4526547433546632009766392814820802585339,44858847.12464348012572357016370220749327,5315196.00822704193745617069694788584333,0.4245073418858286114587795373303134181274,4422425.86894707165765747062337975316047,46856.1011457624282709407719665687928307,0.9999999999999999999999999999999999999979,91837.958245694359411043913054474833948,0,0,0,53230204.27679794820781722838202948068183,0.4322853584184172412723946071857919571992,45100850.35158308802666927282102730884789,134646598.467132385938424897369021776303,0.3585544418978073100915905588333857154433,94625146.49496878739597734275588000796728
1977,174713835.545172951786191494975938522987,0.4385421122697203931423625522485163922621,150173973.98614041610079964334680033264,43389927.48540850623713500731040704718982,0.2389345778913099953568578963940232666618,20320013.85658283710403011950871218264908,38673814.54272181597639501274165329449829,0.2504917047895903183400600336075871265844,18987440.68162476251550299401028930378149,33874537.34249090486136965395686666237621,0.2572359816016441234751114818023716855766,17078949.73461050655735433073787463706796,9515390.14291760137576535335354038481342,0.2978249844000060256457834558242482752389,5554485.00491383524372272591790706585319,218103763.030581458023326502286345570176,0.3557438788974406602887321669401523006951,152074594.178749440532359777531781943439,260066048.01633010700758692462806269229,0.627801262684440884327534636485121976689,320008794.918968768404611469333612574857,1765368.26455713069090426594851686723693,0.4520058533086096350900638721724774417448,1563995.30609716695495446632407253527367,3145276.46799787502151567860555452426603,0.5373857431874022575129663840410443063378,3312844.39527837597486856795764150844158,4910644.73255500571241994455407139150292,0.3738696659532203716452506985986258287261,3598444.56731955110644843630311616447311,0,0,0,4910644.73255500571241994455407139150292,0.3738696659532203716452506985986258287261,3598444.56731955110644843630311616447311,654869.7257836202323264035571928500982774,0.6091849991381708500206505224219143030635,781916.154140733389336487966623350535024,493473.3653883185747788679167417175197323,0.4456931723432363846621488323503827657706,431077.9109861529531572192379726715198608,744132.2959731672463529980873474015700875,0.5166099908538313780870621441506416162578,753475.3100888074113069533902406689681579,1076163.35854126121945647977885474359757,0.3996103108137884018253841222641029314711,842890.1094184442545626929416743228931918,41669931.23916564408387673548808817110726,0.4387246006974819797431391877118734689334,35831982.93022917623495404677471160768071,0,0,0,6256835.61934700703938164921861377696958,0.4670097383552343820990391090079271125584,5727126.20442499498241235389954355565827,21915158.61828414887895461306378635271001,0.6197893436986894332206365389822331810716,26622252.28307485994290350198628393313226,21346731.53586196567816962264717910996002,0.3650209500865545725632241535590969874699,15272328.28386738396866574762898500069454,152335.0471093554373669109526041822499592,0.7415724351079636731346379135455417977858,221416.2448008553054353991537829763589736,0,0,0,44760416.08804747132145285132811203038661,0.4161219961138975000106136421959969091721,36506555.63131597300176238499975445396567,309737108.836932584041459720510246114179,0.5331117949073621056550702742915762552578,323644031.841289233274014724605067134644
1978,152245253.092776271724297145394335487148,0.2046471824981203063069473870600129032914,61066861.70453380531162442896209584136646,14664981.24064519140648706651254029669185,0.2517613874234198169579697340585349297173,7236469.0064191853585280745565663326661,12370887.979376652672283702895264665641,0.2670576245663102995835726246138210423693,6475330.31679457223723993401205888188322,10774244.21952759764420631089817970338108,0.2765632310459652279856787851202818624522,5840329.19512449792854436102457116672494,3890737.02111759376228075561436059331076,0.2239613817090596785947639743732890388387,1707894.68466753092001203740113880922339,166910234.33342146313078421190687578384,0.1889835971616771658212227836995966938685,61824861.11535977974396274330777227640377,143423132.490417977949851785643654880815,0.2891099317447111739382227632403458396219,81271502.00803812190083210090927529063375,1734488.36349243555952630473565762723574,0.3427377876274605317193889538816997314086,1165170.42056318501363120935263141890268,4716045.56466147753702326985642903051484,0.6751373767874775714688438122316891555175,6240598.11741810602641673698981436045295,6450533.92815391309654957459208665775062,0.508018769449511563419858619750837291972,6422904.92460722693096762494878182323275,0,0,0,6450533.92815391309654957459208665775062,0.508018769449511563419858619750837291972,6422904.92460722693096762494878182323275,1405148.86189025914551390009142962933646,0.56042417996486909865006989248149131396,1543459.62136069846770366596110581774506,1306133.95932478003344676976962112194407,0.5361919844251917542282941970274632053904,1372663.57676795353200292662450010450711,3810341.85426106193889513985389521048544,0.5145908564951810799234779573716869763626,3843103.4735143271575563520525006835554,6454788.98924551321502287281663432007054,0.3560545609652573256819719431661631395388,4504583.83699080906280544574055943106253,33917115.37136897854446643579322416431374,0.2852981246060784929863504901967719217334,18965919.23869915144006179641130051100873,40903.4199852371512574800070543139529572,0.9999999999999999999999999999999999999976,80170.7031710648164646608138264553477959,5089024.71323741403195864482801979887809,0.4997691795302972902644903373641766832019,4984941.9028663749623735995837863203305,26749174.82341649879014377180531113384881,0.2429058210185457290606770138541743824471,12735159.33321917132037680398527173524125,20572241.22387043260515341126637606523402,0.5728499123916022741888979154667949362295,23098220.90227444868876086791276252301774,1277361.58864795822506901077837717036281,0.521999918298023104326800623598761589613,1306893.98402608369308624971945000152601,55782.867314182035440981570739756583856,0.9999999999999999999999999999999999999982,109334.4199357967894643238786499229043576,47364632.27330673760591683566908231657466,0.2634993415923105748727469427790569015649,24461876.86080533044809685786118158958513,197238298.69187862865231819590482385514,0.2764541330044386527336748185733603407498,106873592.005862272968400139002346839595
1979,147072366.208050989325878069722270772207,0.2755090599727246239859234462106318877488,79418747.94941109928681076151265320372582,16957240.32876936006682464358340830435436,0.2153667986012820285197825765275182868218,7157972.06293043211331875049434595744886,13039758.88383513887336815966346205057873,0.2276446042460005544922166694472888722025,5818124.27112488340772306056307984292738,9945025.37002767621612956565604814590378,0.2330176405959169366625656911130277932318,4542038.04088515440420586463441505986494,7012214.95874168385069507792736015845061,0.256961470816348649039115634190950682901,3531663.37617818269614541789204009165972,164029606.536820349392702713305679076562,0.2498427729286575432914458150479270915383,80323959.00952946127998176188420055245057,48973783.91591481047366752166377591957952,0.2540028176693844016338587385397758590591,24381379.04888492246788104356905025784356,9456070.18759816286608841380324817126231,0.4000135812057724788758642748482553136606,7413810.73975359256322250622336820815831,2009227.34225439956354303856668791654658,0.5899731951289243512507632957394283285858,2323364.93870644089205405015634788972662,11267735.43382741862637874824330115917964,0.3664115811934144851448419071495284677179,8092112.36328442643193572268161772102525,197562.0960251438032527041266349286292497,0.61792320259037793466307472782076419002,239273.2780491962819253867298011218867665,11465297.52985256242963145236993608780886,0.3606577099379533081678128201599944980624,8104693.98371284012097148116651452676809,1671729.59760580647863594646317131130157,0.4541917541507160981471355669353195001421,1488200.16486841393415992636740388520271,2377857.4279800911563970554055022279955,0.6060854523595008935057472969133898874566,2824722.19797207721640789656339050951063,6226394.86457397862204756013345818604368,0.5067088797411696329171560003279471892452,6183740.35064272653998963993038962398421,16611423.43385628249680748163902831144608,0.5737545136772016635201860373080563060486,18680523.18060543401123207739609379531534,79491899.12146552987365684606613451408612,0.3607280946706314861024017998358672713827,56202924.17119915881715166521245669144364,701601.8434338571268053332212789707552347,0.8873660292348555490143089374213662193941,1220252.17814704295343558715896131842448,19360539.39537288157163359710873030180993,0.5882654616821708294775578713853659122114,22322707.82583637393969539987345991270689,82393919.15990471807616123345397308790917,0.388102734212872154223612452233496437033,62675518.40460781564945087846432194781608,13834060.74805951444789582768957883092779,0.4830192988044847185288729711053342751071,13096951.91140684991580067766748491030381,2036394.01746413127303742487105215158854,0.5454451987445912057163836738359673076217,2177053.02557291844911839096349049664238,0,0,0,106861217.634382540065901963974677255182,0.3541134737899528712508243514116870301891,74168354.10027332749111829337298022089154,167300299.08014991296920093800838926257,0.299770630733844232977791293739028414719,98297363.70734594633887445274357924814382
1980,516156382.057867239544701720655904304706,0.2032128420329309656878858982470433568581,205583626.449572495094860963559591822709,40097284.54702553096394851097598769388024,0.2382960711865506023056123230163299080494,18727849.7306985278429912181112860465652,23789440.27927766032261016728000387349525,0.2891448392550257177668218072053464596982,13482044.01561679549703220278106429906716,16718411.45620611049861244749220045728908,0.3017176700343179996666574327074085077327,9886710.69643345199084261762935686524813,23378873.09081942046533606348378723659124,0.2227880581624538658814028214039632457503,10208726.12634300507031550721308749176261,556253666.604892770508650231631891998585,0.1944437322913775401034711364802484570298,211993676.509421131820527331788929011057,159215724.834698538779596186694700709434,0.2446588475393558521371161401050416574261,76348930.06647306434320652167092102105794,1710857.31271321709406650352198636410902,0.4096558126621585134065553866029421014024,1373690.77986551802901246345129422570614,1302005.90960882129843791212988246758394,0.5797840998493927163442660071475956881974,1479569.35563023486104248683186750878879,2481695.3164637974952722294167995767905,0.3975929031994243260444601284802608869395,1933940.7136293404987064849420178173469,531167.9058582408972321862350692549024525,0.5270616430752800383318966764932564668444,548718.1292525802208893969034368792609172,3012863.22232203839250441565186883169296,0.338284763379311780865653027592242690786,1997643.21562458550003176464206865825949,4074610.25473959150801310887822435529639,0.4129821656734883785141404709321150077309,3298173.07986441090484358877511112288433,7049871.67720593574839197560106146390044,0.3879710518074443386530762569627462679917,5360886.41423767327507610497707845787569,9621098.65046396550941929367366625986453,0.3386614975846552593343861388087458577236,6386259.52765663117186825458621507107765,15331092.21477054706355894332993688411405,0.3503427912160652209837773208062713228095,10527429.77227065739189627541125558454177,341132256.247773295936108164771311170458,0.3695808498443349033969963722471460267859,247108860.379800260204470039207371453331,77134.3377604093227364612752266358663688,0.7053937559428317029226765668149713846265,106643.7572409571181920163033190297835935,12655632.94542304347251258364709684301563,0.39234644245290380515293225206427840186,9732169.42372793139335098852377164544306,332762998.662249907209490183830263999491,0.3815790374897344708925108165098400789142,248871754.09380867310044577454152284025,23622905.27006540559368790425747524392982,0.4141896445273098657078110946359076936538,19177350.96356098220209739807938691665509,8460463.63862674347529263141922092876981,0.7771403874397172881967242835480796168185,12886937.26048237429396506239070891489733,2785163.8754915081878775588584026147314,0.5607550024241928024859272693210434841823,3061117.36847590919342306767268122263776,377351435.507294978869092907635817434111,0.3498266746715956361008965123749151688313,258734891.817497361813255172020320997961,539580023.564315556041193509982386975237,0.2828373001873379814446789880939811078352,299122179.915904392495758077464558604855
1981,187797850.88389456044069867949562822932,0.1914424296577679480543279992176235590913,70466854.64113115816491065051313233664204,25105373.71838799948403607912473781736994,0.1672406806514255379393111153869193045664,8229333.98579637346974765033263779482737,15626741.55440023606345053186114733638597,0.1962349092678854052104297784759474941904,6010363.9337176327391414476834676404111,10687770.5954053740344922381150821713698,0.2329734621354557714691188960617165659817,4880335.15951737852727208000187355689616,14417603.12298262544954384100965564600026,0.1489620194929648689246861268750930815993,4209443.5437972352843236526550101810496,212903224.60228255992473475862036604669,0.1790560652368487060247251665501347947897,74718362.80010264656943184705039407439604,10276214.89125613088672672824362159664697,0.2183773585322596251666317936801751029258,4398421.62077827548297476347999340682183,14433026.10554345583285389231121265732126,0.6061667054296439568318085707960085783593,17147686.97220354975105084458513903890173,4481332.96286624354594885240117215961087,0.5605201572926979003056555938652686333384,4923279.81616440795230684045680160742702,18244711.47327345563842628638983489209022,0.6036687469405073903501574029798271728221,21586973.74218968749328062128853602193759,669647.5951362437403764583225499248418927,0.4843767446347667219690018392623117829329,635748.9754818042168582583522088133150275,18914359.06840969937880274471238481693206,0.5825783060809507897891734042224676413846,21597426.72269474644271123181082850100359,9754766.52777207405196296637434950127262,0.5697542409394033474953863685085681228355,10893326.41320087945885283065237568623157,6373235.03687263094895829743872541023646,0.6300651027697107443404374450456376858494,7870483.85742604390934504686520787131397,18716571.1973437919964584127482194318437,0.468101035863049080844000957925020982358,17172042.87595103019146009251605570745576,6503596.98858950100689396195785865272854,0.5310008649326745878417289609296508506194,6768694.6271845431209495330610889613318,208410788.816184870097141269226775210169,0.3244121730591296413315453120997365877466,132517553.902098737481713062573879113706,0,0,0,819578.5336176177571473211015796006375272,0.39289820579240363921620053519602751084,631141.4333140891242099162547243309734165,234043466.760952194258695680069012813353,0.346572852143818966690791664658909218025,158981699.129901775750362555707242488619,26333564.64799080601931983828233069316046,0.3453181122842025671887819068641329982456,17823175.39455806495211538213966758099409,7476707.69261194944505481300538991603165,0.4765790765567656132545676460446042216982,6983955.19774654252790293522435516973473,0,0,0,249758958.56676286810141490774592820625,0.3278240417403909325538169354374972917852,160478902.866124998315076175364314324283,278949532.526428698366944380701934619829,0.315182035656156360009365198322792587367,172322967.753745476712198358396981757344
1982,107830653.734083349556127846655697536471,0.1801866842844662825143343581478137733168,38082110.00271892822011506491364446812602,37716099.62248929807582962252122755257056,0.1960899984026858480476617213794072804796,14495669.83286975488143634198861333571094,23012406.4618613303888854679726469102759,0.2018699440264066633669476301773819988721,9105205.88056297691326023831795447327728,16275079.43875994310500562950377285814108,0.2317650089667083781950926951826501850975,7393108.10683385517118015326466053303992,21441020.18372935497082399301745469442944,0.1804712634308069460474422267633881449058,7584196.48353401556781773458666985883773,145546753.356572647631957469176925089041,0.1744947106979866982877602891551145852769,49778391.69517328238608237052854559002874,15489512.24462921088881595282734175046224,0.2286796971269591549230575013005404088101,6942588.45874242108797793746035822009501,299292.8361764420523927852822615820612201,0.3747783400115932244320885216200041796433,219850.2057463545903044349471709958978419,11418172.89769484438564260442954400291561,0.6192972556847690263011355175769188769478,13859636.55533418322222735435056013892446,11059541.29797547756973262037401087777139,0.6381254352584531589560943916520081906981,13832454.22487770167202761489495651097916,657924.4358958088683027693377947072054517,0.733346801743481647182755338689576599809,945674.0904720284625497798966905513616926,11717465.73387128643803538971180558497685,0.6034192544209209802052278752680789643281,13858267.09619719065909653137537120492686,12479344.62274450518036961764991900372903,0.5166973863800011465195635089213659617855,12638167.71060251818455155927027591286582,10343803.90893009140381622610811632626718,0.4615938057720521227240982770637486204628,9358286.19246642546463258644392725683446,8997087.91898252952456693352677722190843,0.4072170710284463618552742202946872792353,7180984.86870083136783443421894666872584,21259574.80405903973362869502515982470975,0.3753386798516970255710659537322328299209,15639899.85268128405681668068052897219512,367795405.660301806106637778030007095263,0.3103009180750125870553494432198750013784,223689413.998720129696093375589691056697,0,0,0,110159.6988733841695961266574816582869215,0.6417022962852248111883028339902083324788,138551.8741812734478939539634109741810755,35918376.83797123029668672029721040826759,0.5796420937060318741426050539407731415961,40806814.17965241404733814471178846319319,392949300.939063825163715192988513136652,0.3244409074858860856218699224456432572419,249878102.473524257022348672050607685607,3604083.85587581442224326635523125266522,0.6779224370520690408361120669550315069734,4788847.04939408614103233341944571712208,498647.3835545017080381947407466707454185,0.6962610514955947452262325902366966128093,680489.9531344016161395631752518395081984,421363102.981467469322244111327377541637,0.3100640178277522274105706683238659573989,256073091.882613345183460543946028456101,448570080.959967966649095453866524877081,0.3021744094710501899538409832417516269369,265670942.668100609856852741978532251099
1983,122119400.859871015191420198244907803611,0.2531109842831867729352534825414969105415,60583133.03336139570852670133533113403819,20441180.11183470065660250137438877684292,0.1993846754540666949221586735606520605729,7988289.80249271769414350853336164891477,12025550.40928180465293056647437608333275,0.2089606211042050889954698814757493261826,4925218.30598116908519572948920117583222,8060965.21239188107219790650849495300104,0.2106684373173046549562670302447900268535,3328454.25134495470851249765002441535369,12380214.89944281958440459486589382384195,0.2027713604940030009777479717034128232405,4920291.91600156828157952997502529752906,142560580.971705715848022699619296580455,0.2262519308900187162879430161213340503953,63219029.15875650658980129538572960653112,96458460.63802036233781345818606050000117,0.3380129666530016040916356050383759926079,63904252.46051652735139097228418903562989,177128.2115435489158395529467563117717236,0.5681574242861181113437888250117824476166,197247.9485404192341801155582275712346222,3066182.11968001662553764274060405227356,0.3397166052833546146272516133461581533048,2041600.64252130294304940557923763244261,1870712.89744688792958627659869103894156,0.3868657678747144035001048887519100962071,1418480.97182608742743118293389324386421,1372597.43377667761179091908866932510372,0.3933012246023568656313135246681802507623,1058094.73311722268129397576896622809887,3243310.33122356554137719568736036404528,0.3286642424244854279686787391870805873912,2089281.86059983614735030701799972764125,959130.6420855813798747710765523222728022,0.3132683426965753540528476647376896289669,588911.9226842784444433557041364935287573,2968913.51253096771525136435941554885613,0.6838507076357148588917772631338327577766,3979375.46864893460965269685144928434208,2003288.30652660385521002275340967770213,0.3104760729179542466514858066214606953345,1219067.24921236431594968707651890711135,3326798.5484998714315301703574724529385,0.323312425634378560839347108687269195663,2108166.80429234951142739563422130318291,97411947.32616094163698746692501558677233,0.2377637493083011510487498702838882718254,45395618.45443390282517045752391579897464,0,0,0,105141.1247406791290888831510029297988516,0.5056222452335664202303583325052151866101,104196.9154532187339905101845485078976412,3642292.19416637998282438047256446055351,0.2958842067916032750770431364651542689209,2112285.60407736850149180506055494061372,92259426.98212218372935784967640361605404,0.2538624236253171193000207282359890290465,45905555.40249044813054172936239278794416,13670661.450199841930177850710543677697,0.4335393555387157189460383957298823905022,11616468.71961890443412217789037609796285,235866.915798446788782027148711268483798,0.7478105487573813745437388163760951015051,345712.1847644172167469059000735645312912,106670078.335803966018853795471865588542,0.2275697900522231471599990974174681115909,47578779.17019688624409095216752051532967,206371849.305047893898044449345286452589,0.2067020778593272031963932577661401295494,83608680.52352968665655247815101397898157
1984,77574632.87149034443538517349300871237899,0.1471068125144562508129241203618162998114,22367043.66846004588609769922447404847744,15461325.75567509363599464798184270584887,0.2053811849421731529162863759159044673943,6223912.19277588331209280033232941433511,9504891.25761906786014101774798024291272,0.2100221858291988558809556373816486720714,3912626.55446823899205181039140178080389,5339983.99950829949818283484326395784191,0.2229451095039163539013403030677591802769,2333425.70233829652810344312626418940622,10121341.75616679413781181313857874800691,0.2060305281931380758817904291724064491275,4087198.56057076431584114787388586501585,93035958.62716543807137982147485141822782,0.1415702537865950887835510044512467825542,25815403.57728886487895733636929024499377,59032175.0545004093666433494745448997579,0.1847455849182482567492306358086378211791,21375630.07050259951347643061490082874004,381212.059199650010568457293191699552308,0.3577548466527122830053556002435055321212,267305.7050910255138582185582799417167142,2367753.27864350124839078929087531144935,0.2864367930336802558242267058411489747317,1329294.84542606779110648076265493922179,1573051.1904143480380163401168954820754,0.2957207180720934735799112398272344171103,911760.3020832451897305335158600524591696,1175914.14742880322094290646717152892625,0.4005579980344098398854757504498149866747,923202.7608386657151679089382219269545267,2748965.33784315125895924658406701100166,0.2533257952064177529746226946858707383961,1364912.30719983044700666726708791331862,908499.4653679370480716713275011732217592,0.4238161404818492072000460403041656546694,754672.0046024425129476352183145807025408,663478.858826801831726266463225237975632,0.3769003626772777627263417684584596567545,490128.2281402348462925778010138692043878,1912742.91739401931408471440304955417674,0.337413556172934680397263856969107238358,1264955.36401291939419935156286436627567,4862301.25424325233725367582212376923657,0.2920567002967876280248827111502595753053,2783332.61391990361651473080829449405042,58949838.72027737321352333845190682311614,0.2823355836806722734239759304543358587169,32621528.76102317338220697281508436809223,73293.5732747706046458535595981903820982,0.9999999999999999999999999999999999999986,143655.4036185503851058729768124531489123,772055.4185773074550718366343001602682782,0.3687160796289781793469864187592707349313,557951.724500503766496841786406789566075,6786519.19227959584961200154612426318294,0.3493250538815390484118269811362825966933,4646574.31772189061627909418977490407126,23328331.17425735146145233266856931891121,0.2654633534939793129983963338513008412414,12137921.36887553374900199855457612440567,38757546.96798793361515397262011290014736,0.4269203200816476284997814517348727898353,32430913.34001968433618978525810861628626,384426.2118405599615386186689283534022751,0.3598359009364043775454759743193405877321,271127.4904711851982348805773253869394653,67353207.20037436768851536911356617529235,0.2723201882869915317864594104866826630027,35949610.6104158551055883615686200724234,129134347.592717928314117965172178086052,0.1765595807099877114798075900726074968925,44687816.28180705326870905348312631197729
